name;derivedFrom;branch;best;bestAuthor;bundled;our;width;height;items;proven;method;source;bound;expanded;stored;seconds;status;recorded
electromagnet;;UFO Exit;458;David Glass;458;;48;20;21;no;astar;;46;1190593;1895538;90,0;time limit reached;2026-08-15
corals;;Coral reef;242;David Glass;252;;28;25;5;no;astar;;114;14716883;18832995;90,0;time limit reached;2026-08-14
labyrinth;;Coral reef;278;Mark Byers;278;;43;38;3;no;astar;;128;6386472;7156450;90,0;time limit reached;2026-08-14
imprisoned;;Coral reef;275;Josef Peterka;275;;47;39;22;no;astar;;153;5091537;8481700;90,0;time limit reached;2026-08-14
society;;Coral reef;110;Radovan Málek;110;;24;14;10;no;astar;;86;24803942;33554546;901,3;time limit reached;2026-08-15
creatures;;Coral reef;447;Josef Peterka;447;;43;35;19;no;astar;;161;10385263;12089759;90,0;time limit reached;2026-08-14
cancan;;Coral reef;578;Mark Byers;578;;41;35;19;no;astar;;186;9473093;11790902;90,0;time limit reached;2026-08-14
pearls;;Coral reef;475;Erik Hajduk;475;;33;32;22;no;astar;;72;10749948;13670895;90,0;time limit reached;2026-08-14
turtle;;Coral reef;620;Zmiter Nikitin;620;;50;37;24;no;astar;;74;4133110;4798176;90,0;time limit reached;2026-08-14
aztec;;Treasure Cave;376;Mark Byers;376;;48;39;33;no;astar;;186;1405711;1753390;90,0;time limit reached;2026-08-15
gems;;Treasure Cave;59;Mark Byers;59;59;29;18;109;no;macro;;57;1137719;2168882;205,4;solved;2026-08-15
gems-simple;gems;Treasure Cave;59;Mark Byers;59;59;29;18;88;yes;astar;;59;996968;1742549;71,6;solved;2026-08-15
chest;;Treasure Cave;271;Zmiter Nikitin;271;;39;31;22;no;astar;;76;956145;1736705;90,0;time limit reached;2026-08-15
alibaba;;Treasure Cave;459;Gabor Braun;459;;40;30;42;no;astar;;205;1222149;2104713;90,0;time limit reached;2026-08-15
cave;;Treasure Cave;186;Josef Peterka;186;;32;28;10;no;astar;;110;2553325;3549226;90,0;time limit reached;2026-08-15
grail;;Treasure Cave;1681;Zmiter Nikitin;1691;;51;36;40;no;astar;;62;991879;1223327;90,0;time limit reached;2026-08-15
computer;;Dump;156;Josef Peterka;156;;36;27;10;no;astar;;79;1607020;2272373;90,0;time limit reached;2026-08-15
noground;;Dump;44;Heiko Luettges;44;44;19;19;5;yes;astar;;44;94036;104106;4,5;solved;2026-08-15
bathroom;;Dump;90;Josef Peterka;90;;31;32;26;no;astar;;64;1283257;2756096;90,0;time limit reached;2026-08-15
duckie;;Dump;98;Ronny Standtke;98;;27;21;10;no;astar;;85;25795524;33554913;902,2;time limit reached;2026-08-15
puzzle;;Dump;142;Fern Lopesbr;142;;53;39;31;no;astar;;59;525829;761098;90,0;time limit reached;2026-08-15
dump;;Dump;426;Josef Peterka;426;;43;32;34;no;astar;;182;1065078;1424149;90,0;time limit reached;2026-08-15
barrel;;Dump;1229;Zmiter Nikitin;1237;1231;50;39;17;no;window;;83;3841163;0;390,6;improved by 6;2026-08-15
tetris;;Secret Computer;134;Gabor Braun;134;;51;32;13;no;astar;;71;1677639;3036730;90,0;time limit reached;2026-08-15
emulator;;Secret Computer;620;Gabor Braun;620;;47;36;20;no;astar;;174;1274823;2165660;90,0;time limit reached;2026-08-15
warcraft;;Secret Computer;573;Josef Peterka;573;;52;37;21;no;astar;;137;1387047;1591026;90,0;time limit reached;2026-08-15
windoze;;Secret Computer;525;Zmiter Nikitin;525;;45;33;35;;;;;;;;;
hardware;;Secret Computer;629;Zmiter Nikitin;629;;40;27;17;no;astar;;113;1255069;1587356;90,0;time limit reached;2026-08-15
floppy;;Secret Computer;890;Aleš Zimmermann;946;;51;35;12;no;astar;;49;2089133;2678504;90,0;time limit reached;2026-08-15
ending;;;;;;;29;27;5;;;;;;;;;
